Question,Answer
پاکستان میں بہترین یونیورسٹیوں کا نام؟,LUMS اور AKU پاکستان میں بہترین یونیورسٹی ہیں
پاکستان میں بہترین یونیورسٹی؟,LUMS اور AKU پاکستان میں بہترین یونیورسٹی ہیں
پاکستان کی خوراک,آپ کا مطلب صحیح ہے بریوری؟
سب سے زیادہ بدعنوانی سیاستدان کون ہے؟,پاکستان میں بدعنوان سیاستدان نواز شریف ہیں
بدعنوان سیاستدان,پاکستان میں بدعنوان سیاستدان نواز شریف ہیں
اسلام آباد,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان,پاکستان بہت خوبصورت ملک ہے
پاکستان میں روشنی کی شہر,کیا آپ کا مطلب ہے کراچی؟
ممنو حسین,ممنون حسین پاکستان کے موجودہ صدر ہیں
کیسے,تم ہو
اسلام آباد,اسلام آباد پاکستان کا دارالحکومت ہے
موری میں آب و ہوا؟,آپ کا مطلب موسم ہے
مجھ نہیں پتہ,میں بھی نہیں
اسلام آباد,اسلام آباد پاکستان میں ہے
کرنسی؟,پاکستان کی کرنسی روپے ہے
گلاب,گلاب پاکستان کے قومی پھول نہیں ہے
تم کیسی ہو,ممکنہ طور پر مجھ سے کیا ہو سکتا ہے
پھل؟,پھل صحت مند ہیں
پاکستان میں پہاڑی سلسلے,پاکستان میں سب سے زیادہ پہاڑوں میں واقع واقع ہے
اسلام آباد,اسلام آباد پاکستان کا دارالحکومت ہے
قومی پھول؟,پاکستان کے قومی پھول جاسمین ہے
مارخور,مارخور پاکستان کا قومی جانور ہے
پاکستان کی مجموعی آبادی کیا ہے؟,پاکستان کی آبادی تقریبا 22 کروڑ ہے
پاکستان کی کل تعداد؟,پاکستان کی آبادی تقریبا 22 کروڑ ہے
پاکستان کی آبادی؟,پاکستان کی آبادی تقریبا 22 کروڑ ہے
ممنو حسین,ممنون حسین پاکستان کے موجودہ صدر ہیں
پاکستان سمندر,عربی سمندر پاکستان سے منسلک ہے
پاکستان کے لئے سی پی ای سی فائدہ مند ہے,ہاں سی پی ای سی سی پاکستان کے لئے فائدہ مند ہے
سی پی ای سی,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
پاکستان کی کرنسی,پاکستان کی کرنسی روپے ہے
شہر کے شہر کا نام؟,لاہور پاکستان کا شہر ہے
پاکستان کے شہروں کا شہر,لاہور پاکستان کا شہر ہے
برآمدات,پاکستان کی برآمدات بہت اچھے ہیں
پاکستان کی کرنسی؟,پاکستان کی کرنسی روپے ہے
پاکستان میں قومی علامات,آپ کے بارے میں کون سی علامت جاننا چاہتا ہے؟
پاکستان کی سیاست,پاکستان میں سیاست خالص نہیں ہے
پاکستان کی درآمد کیا ہے؟,پاکستان بہت ساری چیزوں کو درآمد کرتا ہے
ابھی تک سی پی ای سی سی میں ترقی کیا ہے,اب تک پی پی ای سی سڑک بنا دیا گیا ہے
قائداعظم محمد علی جناح,قائداعظم پاکستان کے پہلے گورنر تھے
سی پی ای سی ہے پاکستان وجود کے لئے ایک خطرہ ہے,نہیں یہ ایسا ہی نہیں ہوسکتا
پاکستان کی سب سے بڑی کمپنی,پاکستان کی سب سے بڑی کمپنی سٹیل کی ہے
پاک کا سب سے بڑا برآمد,ٹیکسٹائل اور کپاس پاکستان کا سب سے بڑا برآمد ہے
پاکستان کی درآمد کیا ہے؟,پاکستان بہت ساری چیزوں کو درآمد کرتا ہے
جب پاکستان نے کرکٹ ورلڈ کپ جیت لیا؟,پاکستان نے 1992 میں کرکٹ ورلڈ کپ جیت لیا
پاکستان میں تعلیم کا نظام,پاکستان میں تعلیمی نظام اچھی حالت میں نہیں ہے
سب سے بڑا شہر,کراچی کا سب سے بڑا شہر کراچی ہے
پاک کی سب سے بڑی درآمد,پاکستان کا سب سے بڑا درآمد مشینری سمیت مشینری ہے
١٩٩٢,1992 میں پاکستان نے کرکٹ ورلڈ کپ جیت لیا
پاکستان میں مقبول کمپنیوں کا نام؟,فوجی کھاد پاکستان میں مقبول کمپنی ہے
پاکستان میں مقبول کمپنییں کیا ہیں؟,فوجی کھاد پاکستان میں مقبول کمپنی ہے
پاکستان میں مقبول ترین کمپنیوں؟,فوجی کھاد پاکستان میں مقبول کمپنی ہے
حافظ جھنڈیری کون تھا؟,ابو الاسار حفیظ جلندھاری ایک پاکستانی زبانی شاعر تھی جس نے پاکستان کے نیشنل گاندھی کی غزلیں لکھی تھیں
حافظ جلندری,ابو الاسار حفیظ جلندھاری ایک پاکستانی زبانی شاعر تھی جس نے پاکستان کے نیشنل گاندھی کی غزلیں لکھی تھیں
لہر کیا ہے؟,لہر پنجاب کے دارالحکومت ہے
لاہور,لہر پنجاب کے دارالحکومت ہے
سی پی ای سی سی کے اقتصادی فوائد کیا ہیں,آپ کو یہ گوگل کرنا ہوگا
پاکستان میں لوڈ شیڈنگ,پاکستان میں لوڈ شیڈنگ سب سے بڑی مسئلہ ہے
پاکستان کے قومی علامات,آپ کو مخصوص ہونا ضروری ہے
پاکستان میں قتل کی شرح کیا ہے؟,پاکستان میں قتل کی شرح 7.86 ہے
پاک میں قتل کی شرح,پاکستان میں قتل کی شرح 7.86 ہے
انگریزی,انگریزی پاکستان کی سرکاری زبان ہے
چین کی مدد کیسے کر رہی ہے پاکستان,وہ ترقی میں پاکستان کی مدد کر رہے ہیں
سی پی سی کیا ہے؟,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
اردو,اردو پاکستان کی قومی زبان ہے
پاکستان کا دارالحکومت کیا ہے؟,پاکستان کا دارالحکومت اسلام آباد ہے
میں محبت میں ہوں,تو آپ مصیبت میں بیٹا ہیں
پاکستان میں سیاحت کی شرح,پاکستان سیاحت میں 136 سے باہر ہے 124
پاک میں مرد کی آبادی,مردوں کی آبادی 51 فیصد ہے
اسلام آباد,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کی عمر کیا ہے,پاکستان کی عمر 70 سال ہے
فوج کیوں پاکستان کیلئے اہم ہے؟,فوج یہی وجہ ہے کہ پاکستان نقشہ پر ابھی کھڑا ہے
پاکستان میں فوج کی اہمیت,فوج یہی وجہ ہے کہ پاکستان نقشہ پر ابھی کھڑا ہے
فوج,فوج یہی وجہ ہے کہ پاکستان نقشہ پر ابھی کھڑا ہے
